Date : 2022-11-26 09:32:14
Directory : /Users/velen/Desktop/work/sc/sc-ui
Total : 179 files,  19394 codes, 738 comments, 2975 blanks, all 23107 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| YAML               |          1 |      7,458 |          0 |      1,139 |      8,597 |
| CSS                |          4 |      3,214 |         64 |        636 |      3,914 |
| Vue                |         42 |      2,671 |         16 |        305 |      2,992 |
| Less               |         22 |      2,379 |        214 |        238 |      2,831 |
| TypeScript         |         58 |      2,215 |        386 |        379 |      2,980 |
| Markdown           |         40 |        743 |          2 |        267 |      1,012 |
| JavaScript         |          6 |        370 |         19 |          7 |        396 |
| JSON               |          3 |        264 |          0 |          3 |        267 |
| JSON with Comments |          1 |         42 |         37 |          1 |         80 |
| XML                |          2 |         38 |          0 |          0 |         38 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                       |        179 |     19,394 |        738 |      2,975 |     23,107 |
| .docs                                                                                   |         25 |      2,183 |         46 |        460 |      2,689 |
| .docs/.vitepress                                                                        |          5 |      1,787 |         45 |        327 |      2,159 |
| .docs/.vitepress/theme                                                                  |          3 |      1,622 |         36 |        325 |      1,983 |
| .docs/alert                                                                             |          1 |         75 |          1 |         23 |         99 |
| .docs/contextMenu                                                                       |          1 |          7 |          0 |          3 |         10 |
| .docs/drawer                                                                            |          1 |         15 |          0 |          6 |         21 |
| .docs/en                                                                                |          9 |         63 |          0 |         27 |         90 |
| .docs/en/Table                                                                          |          1 |          7 |          0 |          3 |         10 |
| .docs/en/alert                                                                          |          1 |          7 |          0 |          3 |         10 |
| .docs/en/contextMenu                                                                    |          1 |          7 |          0 |          3 |         10 |
| .docs/en/modal                                                                          |          1 |          7 |          0 |          3 |         10 |
| .docs/en/password                                                                       |          1 |          7 |          0 |          3 |         10 |
| .docs/en/radio                                                                          |          1 |          7 |          0 |          3 |         10 |
| .docs/en/steps                                                                          |          1 |          7 |          0 |          3 |         10 |
| .docs/en/tabs                                                                           |          1 |          7 |          0 |          3 |         10 |
| .docs/modal                                                                             |          1 |         92 |          0 |         22 |        114 |
| .docs/password                                                                          |          1 |          7 |          0 |          3 |         10 |
| .docs/public                                                                            |          1 |         19 |          0 |          0 |         19 |
| .docs/radio                                                                             |          1 |         28 |          0 |         10 |         38 |
| .docs/steps                                                                             |          1 |         48 |          0 |         21 |         69 |
| .docs/table                                                                             |          1 |         14 |          0 |          7 |         21 |
| .docs/tabs                                                                              |          1 |         21 |          0 |          8 |         29 |
| build                                                                                   |          7 |         92 |         12 |         13 |        117 |
| build/plugin                                                                            |          4 |         67 |          7 |         11 |         85 |
| build/theme                                                                             |          2 |         20 |          0 |          2 |         22 |
| docs                                                                                    |          6 |      1,806 |         45 |        327 |      2,178 |
| docs/.vitepress                                                                         |          5 |      1,787 |         45 |        327 |      2,159 |
| docs/.vitepress/theme                                                                   |          3 |      1,622 |         36 |        325 |      1,983 |
| docs/public                                                                             |          1 |         19 |          0 |          0 |         19 |
| src                                                                                     |        129 |      7,427 |        577 |      1,017 |      9,021 |
| src/__docs__                                                                            |          2 |         12 |          0 |          6 |         18 |
| src/constans                                                                            |          1 |         13 |          0 |          0 |         13 |
| src/direactives                                                                         |          3 |        151 |          4 |         21 |        176 |
| src/enums                                                                               |          1 |          6 |          0 |          0 |          6 |
| src/hooks                                                                               |          4 |        116 |          0 |         23 |        139 |
| src/package                                                                             |         86 |      4,297 |        284 |        647 |      5,228 |
| src/package/alert                                                                       |         12 |        317 |         10 |         57 |        384 |
| src/package/alert/component                                                             |          2 |         60 |          9 |          7 |         76 |
| src/package/alert/demo                                                                  |          7 |        171 |          0 |         21 |        192 |
| src/package/contextMenu                                                                 |          3 |         12 |          0 |          7 |         19 |
| src/package/drawer                                                                      |          6 |         99 |          9 |         22 |        130 |
| src/package/drawer/component                                                            |          2 |         59 |          9 |          7 |         75 |
| src/package/drawer/demo                                                                 |          1 |         14 |          0 |          3 |         17 |
| src/package/modal                                                                       |         12 |        639 |          2 |         95 |        736 |
| src/package/modal/components                                                            |          2 |        266 |          2 |         18 |        286 |
| src/package/modal/demo                                                                  |          7 |        269 |          0 |         51 |        320 |
| src/package/password                                                                    |          3 |         12 |          0 |          7 |         19 |
| src/package/radio                                                                       |          9 |        246 |          0 |         45 |        291 |
| src/package/radio/components                                                            |          3 |        124 |          0 |         16 |        140 |
| src/package/radio/demo                                                                  |          3 |         81 |          0 |         12 |         93 |
| src/package/steps                                                                       |         12 |        473 |         42 |         75 |        590 |
| src/package/steps/component                                                             |          3 |        319 |         42 |         38 |        399 |
| src/package/steps/demo                                                                  |          6 |         91 |          0 |          7 |         98 |
| src/package/table                                                                       |         22 |      2,343 |        212 |        312 |      2,867 |
| src/package/table/component                                                             |          6 |        947 |          0 |         99 |      1,046 |
| src/package/table/demo                                                                  |          1 |        290 |          1 |         24 |        315 |
| src/package/table/hooks                                                                 |          9 |        730 |         63 |        110 |        903 |
| src/package/table/types                                                                 |          3 |        353 |        148 |         67 |        568 |
| src/package/tabs                                                                        |          7 |        156 |          9 |         27 |        192 |
| src/package/tabs/components                                                             |          2 |         97 |          9 |         11 |        117 |
| src/package/tabs/demo                                                                   |          2 |         30 |          0 |          4 |         34 |
| src/style                                                                               |         21 |      2,365 |        214 |        238 |      2,817 |
| src/style/color                                                                         |          4 |      1,206 |        168 |        167 |      1,541 |
| src/style/component                                                                     |         12 |        958 |         32 |         31 |      1,021 |
| src/style/other                                                                         |          1 |         90 |          0 |          2 |         92 |
| src/style/var                                                                           |          3 |        106 |         13 |         37 |        156 |
| src/types                                                                               |          2 |         37 |         53 |          2 |         92 |
| src/utils                                                                               |          6 |        372 |         19 |         66 |        457 |
| types                                                                                   |          3 |         25 |          8 |          4 |         37 |
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/velen/Desktop/work/sc/sc-ui/.docs/.vitepress/config.js                           | JavaScript         |         57 |          0 |          2 |         59 |
| /Users/velen/Desktop/work/sc/sc-ui/.docs/.vitepress/sidebar.js                          | JavaScript         |        108 |          9 |          0 |        117 |
| /Users/velen/Desktop/work/sc/sc-ui/.docs/.vitepress/theme/index.ts                      | TypeScript         |         15 |          4 |          7 |         26 |
| /Users/velen/Desktop/work/sc/sc-ui/.docs/.vitepress/theme/theme.css                     | CSS                |      1,480 |          0 |        291 |      1,771 |
| /Users/velen/Desktop/work/sc/sc-ui/.docs/.vitepress/theme/var.css                       | CSS                |        127 |         32 |         27 |        186 |
| /Users/velen/Desktop/work/sc/sc-ui/.docs/alert/index.md                                 | Markdown           |         75 |          1 |         23 |         99 |
| /Users/velen/Desktop/work/sc/sc-ui/.docs/contextMenu/index.md                           | Markdown           |          7 |          0 |          3 |         10 |
| /Users/velen/Desktop/work/sc/sc-ui/.docs/drawer/index.md                                | Markdown           |         15 |          0 |          6 |         21 |
| /Users/velen/Desktop/work/sc/sc-ui/.docs/en/Table/index.md                              | Markdown           |          7 |          0 |          3 |         10 |
| /Users/velen/Desktop/work/sc/sc-ui/.docs/en/alert/index.md                              | Markdown           |          7 |          0 |          3 |         10 |
| /Users/velen/Desktop/work/sc/sc-ui/.docs/en/contextMenu/index.md                        | Markdown           |          7 |          0 |          3 |         10 |
| /Users/velen/Desktop/work/sc/sc-ui/.docs/en/index.md                                    | Markdown           |          7 |          0 |          3 |         10 |
| /Users/velen/Desktop/work/sc/sc-ui/.docs/en/modal/index.md                              | Markdown           |          7 |          0 |          3 |         10 |
| /Users/velen/Desktop/work/sc/sc-ui/.docs/en/password/index.md                           | Markdown           |          7 |          0 |          3 |         10 |
| /Users/velen/Desktop/work/sc/sc-ui/.docs/en/radio/index.md                              | Markdown           |          7 |          0 |          3 |         10 |
